,SMILES,CID,MW,LogP,MR,TPSA,NumAromaticRings,FractionCSP3,NumValenceElectron,MaxCharge,MinCharge,BertzCT,BalabanJ,LabuteASA
58,c1cc2c3c(c1)C(=O)C(=O)c3ccc2,6724,182.17799999999997,2.2188,52.609000000000016,34.14,2,0.0,66,0.23369183384405032,-0.28484778581753095,533.1414651067444,2.61755478323616,80.16016492658369
59,CCc1cc2c(cc1)C(=O)c1ccccc1C2=O,6772,236.26999999999998,3.024400000000001,69.12700000000002,34.14,2,0.125,88,0.19402334158940351,-0.2885627825135994,668.5472200566021,2.2684291257338125,105.26547882970576
60,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,6775,227.00599999999997,1.17116,46.998,81.72,0,0.0,68,0.21754251529050106,-0.2866822917605224,444.4511188573978,3.5079461492575583,88.62354462749634
61,c1ccc2c(c1)C(=O)c1ccccc1C2=O,6780,208.21599999999998,2.4620000000000006,59.749000000000024,34.14,2,0.0,76,0.19401317130265341,-0.2885627854005235,506.13733595521376,2.3487679057916755,92.53559460091252
62,C1(=C(C(=O)C(=C(C1=O)Br)Br)Br)Br,68101,423.67999999999995,3.141,59.773999999999994,34.14,0,0.0,64,0.20898128771722052,-0.2873289000656171,277.45724820935004,3.3164522117132207,101.9721590045678
63,CC1=C(C(=O)C(=C(C1=O)C)C)C,68238,164.20399999999998,1.811,46.76200000000002,34.14,0,0.4,64,0.18473137106330698,-0.2893411366365294,267.7477422648033,3.3164522117132207,71.9617370395888
64,C1(=C(C(=O)C(=C(C1=O)F)F)F)F,68239,180.05599999999998,1.4394,28.497999999999998,34.14,0,0.0,64,0.2555759091453424,-0.28310873839646516,277.45724820935004,3.3164522117132207,63.164110193707316
65,COC1=CC(=O)C=C(C1=O)OC,68262,168.14799999999997,0.19879999999999987,40.198000000000015,52.60000000000001,0,0.25,64,0.2617374232376372,-0.49237868543743535,259.432985745165,2.9754811846274762,69.45894326980935
66,c1ccc2c(c1)C(=O)c1c(C2=O)c(ccc1)F,68436,226.20599999999996,2.6011000000000006,59.707000000000015,34.14,2,0.0,82,0.19696543371290193,-0.28856084831168544,659.0218277807028,2.374093930060625,96.70113000383876
67,C1=CC(=O)C(=CC1=O)Cl,69671,142.541,0.8170999999999999,33.089999999999996,34.14,0,0.0,46,0.1969472010301732,-0.28990259091585285,225.21235949739008,2.9474749819283015,56.805234808884045
